pergunta,alternativa_a,alternativa_b,alternativa_c,alternativa_d,resposta_correta,explicacao
Em que ano foi criada a Capitania de São Vicente?,1524,1532,1534,1549,C,As capitanias hereditárias foram oficialmente criadas em 1534 por Dom João III.
Qual tratado redefiniu as fronteiras entre Portugal e Espanha substituindo o Tratado de Tordesilhas?,Tratado de Madri,Tratado de Utrecht,Tratado de Badajoz,Tratado de Santo Ildefonso,A,O Tratado de Madri de 1750 redefiniu as fronteiras com base no princípio do uti possidetis.
Quem liderou a Inconfidência Mineira?,Joaquim Silvério dos Reis,Tiradentes,Cláudio Manuel da Costa,Tomás Antônio Gonzaga,B,Tiradentes tornou-se o principal símbolo do movimento após sua execução.
Qual foi o principal objetivo da Revolta de Beckman em 1684?,Independência do Maranhão,Expulsar jesuítas e combater monopólio comercial,Implantar república,Acabar com escravidão,B,A revolta ocorreu contra a Companhia de Comércio do Maranhão e os jesuítas.
Qual evento marcou o início do Período Regencial?,Abdicação de Dom Pedro I,Grito do Ipiranga,Proclamação da República,Morte de Dom João VI,A,O período regencial começou após a abdicação de Dom Pedro I em 1831.
Quem foi o líder da Balaiada?,Bento Gonçalves,Manuel Francisco dos Anjos Ferreira,Luís Alves de Lima e Silva,Pedro Ivo Veloso da Silveira,B,O artesão Manuel Balaio deu nome ao movimento.
Qual foi a principal causa da Guerra dos Farrapos?,Impostos sobre charque,Questão religiosa,Disputa eleitoral,Abolição da escravidão,A,A economia do charque no RS foi prejudicada por impostos e concorrência.
Em que ano ocorreu a transferência da corte portuguesa para o Brasil?,1806,1808,1810,1812,B,A corte portuguesa chegou ao Brasil em 1808 fugindo das tropas napoleônicas.
Quem foi o primeiro presidente do Brasil?,Floriano Peixoto,Prudente de Morais,Deodoro da Fonseca,Campos Sales,C,Deodoro da Fonseca liderou o golpe que proclamou a República em 1889.
Qual foi o estopim da Revolta da Vacina?,Campanha obrigatória de vacinação,Alta inflação,Impostos sobre alimentos,Greve militar,A,A vacinação obrigatória gerou revolta popular em 1904 no Rio de Janeiro.
Quem liderou o movimento de Canudos?,Padre Cícero,Antônio Conselheiro,Lampião,José Maria,B,Antônio Conselheiro fundou o arraial de Canudos.
Qual foi o presidente durante a Revolução de 1930?,Washington Luís,Getúlio Vargas,Júlio Prestes,Epitácio Pessoa,A,Washington Luís foi deposto antes da posse de Júlio Prestes.
